Crop,Soil_pH,Soil_Nitrogen,Soil_Phosphorus,Soil_Potassium,Soil_Moisture,Soil_CEC,Avg_Temperature,Min_Temperature,Avg_Humidity,Min_Humidity,Avg_Wind_Speed,Total_Rainfall,Min_Elevation,Max_Elevation
Cardamom,6.0,270.0,220.0,240.0,370.0,230.0,25.0,15.0,76.0,46.0,10.2,1200.0,700.0,1500.0
Carrot,6.3,240.0,190.0,220.0,350.0,240.0,18.0,8.0,80.0,50.0,8.5,1400.0,0.0,3000.0
Cashew,6.0,270.0,220.0,240.0,370.0,230.0,28.0,18.0,75.0,45.0,9.5,1200.0,0.0,500.0
Cassabanana,6.1,200.0,170.0,220.0,400.0,220.0,26.0,21.0,76.0,56.0,3.0,1800.0,0.0,50.0
Cassava,6.4,300.0,250.0,260.0,450.0,270.0,31.0,21.0,72.0,42.0,9.5,1400.0,0.0,1500.0
Castor,6.5,100.0,50.0,80.0,250.0,80.0,27.0,22.0,60.0,40.0,2.8,700.0,0.0,1000.0
Cauliflower,6.0,150.0,180.0,200.0,300.0,120.0,15.0,10.0,60.0,40.0,2.0,600.0,0.0,2500.0
Celeriac,6.3,140.0,100.0,120.0,300.0,120.0,18.0,12.0,63.0,43.0,1.9,700.0,0.0,1500.0
Celery,6.1,245.0,195.0,215.0,325.0,225.0,23.5,13.5,78.0,48.0,9.8,890.0,0.0,1000.0
Celosia argentea (Lagos spinach - another variety),6.2,160.0,140.0,170.0,400.0,170.0,27.0,21.0,80.0,60.0,3.2,1400.0,0.0,1000.0
Chamomile,6.5,70.0,50.0,100.0,280.0,110.0,20.0,14.0,60.0,40.0,1.8,600.0,0.0,1000.0
Chayote Squash,6.5,130.0,110.0,160.0,380.0,200.0,28.0,23.0,75.0,55.0,3.0,1100.0,0.0,1500.0
Cheena,6.2,90.0,70.0,110.0,270.0,110.0,27.0,21.0,72.0,52.0,2.8,750.0,0.0,2500.0
Chenopodium,6.0,100.0,50.0,80.0,250.0,80.0,18.0,12.0,55.0,35.0,1.5,400.0,0.0,2500.0
Cherry,6.5,285.0,235.0,255.0,365.0,265.0,25.5,15.5,76.0,46.0,11.5,930.0,300.0,2000.0
Chestnut,6.5,280.0,230.0,250.0,360.0,260.0,26.0,16.0,77.0,47.0,10.5,930.0,200.0,1500.0
Chia,6.3,250.0,200.0,220.0,330.0,230.0,24.5,14.5,80.0,50.0,10.5,870.0,0.0,2000.0
Chickpea,6.3,230.0,190.0,210.0,340.0,230.0,26.0,16.0,72.0,42.0,11.5,900.0,0.0,1800.0
Chickpea (Cicer arietinum - another variety),6.4,95.0,75.0,105.0,280.0,120.0,22.0,16.0,65.0,45.0,2.5,800.0,0.0,1800.0
Chili Pepper,6.5,180.0,200.0,220.0,350.0,200.0,27.0,22.0,70.0,50.0,3.0,1200.0,0.0,2500.0
Chilli,6.3,150.0,120.0,140.0,330.0,130.0,28.0,20.0,75.0,55.0,3.0,950.0,0.0,2500.0
Chinese Yam,6.2,110.0,90.0,130.0,360.0,150.0,27.0,21.0,72.0,52.0,3.1,1100.0,0.0,2000.0
Chive,6.2,100.0,70.0,90.0,270.0,90.0,18.0,12.0,60.0,40.0,1.7,650.0,0.0,1000.0
Chrysanthemum,6.5,100.0,80.0,120.0,300.0,140.0,22.0,16.0,60.0,40.0,2.0,700.0,0.0,2000.0
Chrysophyllum albidum (African Star Apple),6.2,180.0,150.0,200.0,470.0,230.0,28.0,22.0,80.0,60.0,3.3,2200.0,0.0,800.0
Cinnamon,6.2,250.0,200.0,220.0,350.0,210.0,23.5,13.5,82.0,52.0,9.2,1400.0,0.0,1000.0
Clove,6.3,260.0,210.0,230.0,360.0,220.0,24.5,14.5,80.0,50.0,9.5,1300.0,0.0,900.0
Cluster Bean (Cyamopsis tetragonoloba - another variety),6.3,120.0,90.0,140.0,350.0,180.0,28.0,23.0,75.0,55.0,3.2,1200.0,0.0,1200.0
Cocoa,6.0,220.0,170.0,250.0,400.0,240.0,27.0,21.0,85.0,70.0,3.5,2000.0,0.0,800.0
Coconut,6.3,320.0,270.0,290.0,500.0,290.0,29.5,19.5,78.0,48.0,9.5,2000.0,0.0,600.0
Coffee,6.0,275.0,230.0,215.0,420.0,265.0,23.5,13.5,85.0,55.0,7.2,1800.0,600.0,2000.0
Colocasia,6.1,180.0,150.0,210.0,470.0,240.0,27.0,22.0,84.0,64.0,3.5,2700.0,0.0,2000.0
Common Bean,6.5,100.0,120.0,150.0,300.0,120.0,24.0,18.0,65.0,45.0,2.5,800.0,0.0,2000.0
Corchorus olitorius (Jute Mallow - another variety),6.1,150.0,120.0,160.0,400.0,180.0,28.0,23.0,70.0,50.0,2.5,1500.0,0.0,500.0
Coriander,6.0,240.0,190.0,215.0,320.0,220.0,22.5,12.5,77.0,46.0,9.5,880.0,0.0,1000.0
Coriander (Coriandrum sativum - another variety),6.0,120.0,90.0,140.0,280.0,120.0,24.0,18.0,65.0,45.0,2.5,800.0,0.0,1000.0
Corn,6.5,200.0,150.0,180.0,350.0,180.0,27.0,22.0,70.0,50.0,3.0,1000.0,0.0,3000.0
Costus,6.2,140.0,110.0,170.0,420.0,200.0,28.0,23.0,80.0,60.0,3.5,2800.0,0.0,1000.0
Costus speciosus (Crepe Ginger),6.0,150.0,120.0,160.0,370.0,180.0,29.0,23.0,85.0,65.0,3.2,2500.0,0.0,1000.0
Cotton,7.0,260.0,190.0,240.0,320.0,230.0,32.0,22.0,60.0,30.0,15.0,800.0,0.0,1500.0
Cowpea,6.3,260.0,210.0,230.0,340.0,240.0,24.5,14.5,78.0,48.0,10.3,870.0,0.0,1000.0
Cranberry,6.0,245.0,195.0,215.0,325.0,225.0,21.5,11.5,78.0,48.0,9.8,880.0,0.0,1000.0
Crossandra,6.1,95.0,85.0,105.0,300.0,120.0,26.0,21.0,78.0,58.0,2.7,1100.0,0.0,700.0
Cucumber,6.0,120.0,150.0,180.0,320.0,150.0,24.0,18.0,70.0,50.0,3.0,1000.0,0.0,1000.0
Cucumber (Cucumis sativus - another variety),6.2,125.0,95.0,125.0,330.0,150.0,27.0,21.0,75.0,55.0,2.9,1100.0,0.0,1000.0
Cumin,7.0,100.0,80.0,130.0,300.0,130.0,25.0,20.0,65.0,45.0,3.0,500.0,0.0,1200.0
Cumin (Cuminum cyminum - another variety),6.3,135.0,105.0,145.0,300.0,140.0,28.0,22.0,68.0,48.0,3.0,900.0,0.0,1200.0
Cupua̤u,6.4,140.0,110.0,170.0,350.0,150.0,24.0,18.0,70.0,50.0,2.5,1700.0,0.0,800.0
Curcuma longa (Turmeric - ornamental variety),6.1,180.0,150.0,190.0,430.0,210.0,28.0,22.0,84.0,64.0,3.8,2800.0,0.0,1300.0
Curry Leaf,6.0,180.0,150.0,200.0,380.0,210.0,28.0,23.0,75.0,55.0,3.0,1200.0,0.0,1000.0
Curry Leaf (Murraya koenigii - another variety),6.3,120.0,90.0,140.0,350.0,170.0,27.0,22.0,70.0,50.0,3.0,1000.0,0.0,1000.0
Custard Apple,6.4,130.0,110.0,160.0,300.0,160.0,30.0,25.0,60.0,40.0,3.2,700.0,0.0,1000.0
Custard Apple (Annona squamosa - another variety),6.1,130.0,100.0,150.0,320.0,170.0,30.0,24.0,65.0,45.0,2.8,900.0,0.0,1000.0
Dacryodes edulis (Safou),6.0,170.0,140.0,190.0,450.0,220.0,27.0,21.0,78.0,58.0,3.1,2000.0,0.0,1300.0
Date Palm,6.3,250.0,200.0,270.0,350.0,220.0,30.0,22.0,60.0,40.0,3.0,200.0,0.0,500.0
Dates,6.5,300.0,250.0,270.0,400.0,280.0,32.0,22.0,55.0,30.0,13.5,1100.0,0.0,800.0
Delicata Squash,6.1,140.0,110.0,160.0,380.0,200.0,28.0,23.0,74.0,54.0,3.2,1200.0,0.0,500.0
Dill,6.0,130.0,100.0,160.0,350.0,150.0,22.0,16.0,68.0,48.0,2.5,750.0,0.0,1000.0
Dolichos Bean (Lablab purpureus - another variety),6.5,140.0,110.0,160.0,400.0,200.0,29.0,24.0,80.0,60.0,3.5,1400.0,0.0,1200.0
Dragon Fruit,6.0,150.0,100.0,150.0,350.0,180.0,24.0,18.0,70.0,50.0,2.0,1000.0,0.0,800.0
Dragonfruit,6.4,300.0,250.0,270.0,450.0,270.0,27.5,17.5,72.0,42.0,9.8,1500.0,0.0,800.0
Drumstick,6.3,160.0,140.0,190.0,350.0,190.0,29.0,24.0,70.0,50.0,3.2,1000.0,0.0,500.0
Drumstick (Moringa oleifera - another variety),6.5,170.0,140.0,190.0,420.0,200.0,30.0,25.0,75.0,55.0,3.5,1200.0,0.0,500.0
Duku,6.0,150.0,120.0,180.0,400.0,220.0,27.0,22.0,82.0,62.0,3.5,2500.0,0.0,500.0
Duku (Lansium domesticum - another variety),6.2,160.0,130.0,180.0,420.0,220.0,28.0,23.0,82.0,62.0,3.3,2200.0,0.0,500.0
Durian,6.5,310.0,260.0,280.0,480.0,280.0,28.0,18.0,75.0,45.0,10.0,1700.0,0.0,600.0
Eggplant,6.5,265.0,215.0,235.0,345.0,245.0,27.5,17.5,81.0,50.0,10.5,950.0,0.0,1500.0
Egusi Melon,6.3,170.0,150.0,180.0,430.0,210.0,29.0,23.0,80.0,60.0,3.4,1700.0,0.0,500.0
Elephant Apple (Dillenia indica),6.5,140.0,110.0,170.0,400.0,200.0,27.0,22.0,75.0,55.0,3.2,1200.0,0.0,200.0
Emilia,6.4,100.0,80.0,110.0,290.0,110.0,30.0,24.0,74.0,54.0,3.2,900.0,0.0,2000.0
Etlingera elatior (Torch Ginger),6.4,170.0,140.0,180.0,410.0,200.0,27.0,21.0,82.0,62.0,3.6,2600.0,0.0,1000.0
Eucalyptus,6.5,100.0,80.0,120.0,350.0,160.0,25.0,20.0,75.0,55.0,3.0,1200.0,0.0,2000.0
Fava Bean,6.0,120.0,150.0,180.0,320.0,150.0,24.0,18.0,70.0,50.0,3.0,1000.0,0.0,2400.0
Fennel,6.2,140.0,110.0,170.0,360.0,160.0,23.0,17.0,70.0,50.0,2.7,800.0,0.0,2000.0
Fennel (Foeniculum vulgare - another variety),6.5,145.0,115.0,155.0,330.0,160.0,26.0,20.0,72.0,52.0,2.7,1050.0,0.0,2000.0
Fenugreek,6.3,250.0,200.0,220.0,330.0,230.0,24.5,14.5,79.0,50.0,10.0,900.0,0.0,1800.0
Fenugreek (Trigonella foenum-graecum - another variety),6.0,110.0,90.0,130.0,300.0,130.0,24.0,18.0,68.0,48.0,2.5,800.0,0.0,1800.0
Field Bean,6.0,120.0,150.0,180.0,320.0,150.0,24.0,18.0,70.0,50.0,3.0,1000.0,0.0,2000.0
Fig,6.0,120.0,100.0,150.0,300.0,120.0,25.0,18.0,60.0,40.0,2.0,500.0,0.0,1700.0
Figs,6.3,260.0,210.0,230.0,340.0,240.0,26.0,16.0,75.0,45.0,10.2,910.0,0.0,1700.0
Finger Millet,6.3,260.0,215.0,230.0,340.0,240.0,27.0,17.0,72.0,43.0,12.5,900.0,0.0,2500.0
Finger Millet (Eleusine coracana - another variety),6.5,125.0,105.0,135.0,320.0,150.0,28.0,23.0,75.0,55.0,3.5,1100.0,0.0,2500.0
Flax,6.1,255.0,190.0,215.0,325.0,225.0,23.0,13.0,74.0,44.0,10.8,890.0,0.0,1000.0
Fonio,6.0,80.0,60.0,90.0,250.0,90.0,28.0,22.0,70.0,50.0,2.8,700.0,0.0,1500.0
Foxtail Millet,6.5,255.0,210.0,225.0,330.0,235.0,26.0,16.0,68.0,40.0,12.0,800.0,0.0,2000.0
Foxtail Millet (Setaria italica - another variety),6.2,80.0,60.0,100.0,250.0,100.0,28.0,22.0,70.0,50.0,3.0,800.0,0.0,2000.0
French Bean (Phaseolus vulgaris - adaptable),6.3,115.0,95.0,135.0,320.0,155.0,22.0,16.0,65.0,45.0,2.3,850.0,0.0,2000.0
Galangal,6.2,180.0,150.0,200.0,420.0,230.0,28.0,23.0,84.0,64.0,3.8,2700.0,0.0,1000.0
Garlic,6.0,120.0,150.0,180.0,300.0,120.0,22.0,16.0,60.0,40.0,2.0,600.0,0.0,2000.0
Geocarpa Groundnut,6.2,150.0,130.0,160.0,390.0,160.0,27.0,21.0,74.0,54.0,3.0,1000.0,0.0,500.0
Gherkin,6.0,255.0,205.0,225.0,335.0,235.0,25.0,15.0,78.0,48.0,10.2,890.0,0.0,200.0
Gingelly,6.0,120.0,80.0,100.0,280.0,100.0,27.0,22.0,70.0,50.0,3.0,800.0,0.0,1000.0
Ginger,6.0,280.0,230.0,280.0,420.0,260.0,27.0,22.0,80.0,60.0,3.0,2000.0,0.0,1500.0
Ginger (Zingiber officinale - another variety),6.0,160.0,130.0,180.0,400.0,200.0,27.0,21.0,80.0,60.0,3.0,1500.0,0.0,1500.0
Gnetum africanum (Eru/Afang),6.3,160.0,130.0,170.0,430.0,190.0,26.0,21.0,75.0,55.0,2.8,1700.0,0.0,1000.0
Gongura,6.3,150.0,120.0,170.0,380.0,180.0,29.0,23.0,72.0,52.0,3.0,1000.0,0.0,300.0
Gooseberry,6.2,275.0,225.0,245.0,355.0,255.0,27.0,17.0,79.0,49.0,10.5,940.0,0.0,1800.0
Grape,6.5,100.0,80.0,120.0,300.0,120.0,22.0,16.0,65.0,45.0,2.5,800.0,0.0,1500.0
Grapes,6.2,240.0,185.0,215.0,320.0,230.0,27.0,17.0,68.0,38.0,12.2,1000.0,0.0,1500.0
Green Gram (Vigna radiata - another variety),6.5,110.0,90.0,130.0,330.0,160.0,28.0,22.0,75.0,55.0,3.3,1200.0,0.0,600.0
Ground Bean,6.0,140.0,120.0,150.0,370.0,150.0,26.0,20.0,72.0,52.0,2.8,900.0,0.0,1500.0
Groundnut,6.8,245.0,185.0,210.0,310.0,225.0,29.0,19.0,72.0,42.0,13.0,900.0,0.0,1000.0
Guar,6.2,80.0,60.0,90.0,280.0,120.0,28.0,22.0,72.0,52.0,3.0,800.0,0.0,1500.0
Guava,6.3,300.0,250.0,260.0,420.0,260.0,28.5,18.5,73.0,43.0,10.5,1300.0,0.0,1500.0
Guava (Psidium guajava - another variety),6.3,120.0,90.0,140.0,320.0,160.0,28.0,23.0,65.0,45.0,3.0,800.0,0.0,1500.0
Guinea Millet,6.0,90.0,70.0,100.0,260.0,100.0,28.0,22.0,75.0,55.0,2.9,800.0,0.0,1800.0
Hausa Groundnut,6.4,160.0,140.0,170.0,410.0,170.0,28.0,22.0,76.0,56.0,3.2,1100.0,0.0,500.0
Hazelnut,6.1,260.0,210.0,230.0,360.0,220.0,25.0,15.0,72.0,42.0,10.8,950.0,0.0,1600.0
Heliconia,6.0,120.0,90.0,150.0,400.0,180.0,27.0,22.0,85.0,65.0,3.0,2500.0,0.0,1000.0
Heliconia psittacorum (Parrot's Beak),6.5,140.0,110.0,150.0,350.0,170.0,28.0,22.0,80.0,60.0,3.0,2200.0,0.0,1000.0
Hemp,6.1,270.0,220.0,240.0,350.0,250.0,25.5,15.5,74.0,44.0,10.8,920.0,0.0,2000.0
Hibiscus,6.2,170.0,150.0,190.0,400.0,210.0,26.0,20.0,76.0,56.0,2.5,2500.0,0.0,1000.0
Hibiscus sabdariffa (Roselle - another variety),6.0,180.0,150.0,190.0,490.0,210.0,28.0,23.0,85.0,65.0,3.2,2100.0,0.0,1000.0
Horse Gram,6.5,100.0,120.0,150.0,300.0,120.0,27.0,22.0,70.0,50.0,3.0,1200.0,0.0,2000.0
Horse Gram (Macrotyloma uniflorum - another variety),6.0,145.0,125.0,165.0,350.0,170.0,25.0,19.0,68.0,48.0,2.8,850.0,0.0,2000.0
Hubbard Squash,6.3,150.0,120.0,170.0,400.0,220.0,29.0,24.0,76.0,56.0,3.4,1300.0,0.0,500.0
Hyacinth Bean,6.5,275.0,225.0,245.0,355.0,255.0,28.5,18.5,70.0,42.0,13.0,940.0,0.0,1200.0
